ds,prophet_f10_7
2024-01-01,153.80448887694195
2024-02-01,358.81241106795056
2024-03-01,258.07836527907926
2024-04-01,176.96412879203348
2024-05-01,224.22975879676923
2024-06-01,125.17855349739445
2024-07-01,172.29615125244834
2024-08-01,210.54843493537317
2024-09-01,202.15936617185298
2024-10-01,228.14817375895157
2024-11-01,214.11991209757065
2024-12-01,145.0079504331152
2025-01-01,156.51458329775818
2025-02-01,323.6699485157419
2025-03-01,211.439687241502
2025-04-01,143.12175512586512
2025-05-01,188.3390039671633
2025-06-01,110.4789617153334
2025-07-01,156.8837502114128
2025-08-01,189.1621503415919
2025-09-01,171.21440485654176
2025-10-01,177.2590249661344
2025-11-01,153.33184208294816
2025-12-01,98.86182325018318
2026-01-01,105.72822701002832
2026-02-01,223.8872851630691
2026-03-01,151.34127493422716
2026-04-01,105.18826968061529
2026-05-01,140.1520986083884
2026-06-01,82.0999330786952
2026-07-01,116.44170087640408
2026-08-01,140.48853797687977
2026-09-01,127.36282015310847
2026-10-01,131.46313895514027
2026-11-01,113.03819007900782
2026-12-01,72.88398587478888
2027-01-01,79.19340050840565
2027-02-01,173.6194906927276
2027-03-01,121.97203830590924
2027-04-01,87.1548883707171
2027-05-01,117.25863469743639
2027-06-01,68.3387121821332
2027-07-01,96.90676779555344
2027-08-01,118.93830060759765
2027-09-01,111.29941581355044
2027-10-01,117.89711849606383
2027-11-01,101.21274781358693
2027-12-01,63.24190977475641
2028-01-01,65.89933806048504
2028-02-01,138.8707630530961
2028-03-01,100.10614677356781
2028-04-01,74.56664547392622
2028-05-01,105.71494466656506
2028-06-01,62.85405540370383
2028-07-01,87.86254698633698
2028-08-01,103.20712524989247
2028-09-01,92.45408929984038
2028-10-01,97.15154572621655
2028-11-01,85.84792468039181
2028-12-01,56.141124357659216
2029-01-01,61.136525875487315
2029-02-01,134.3653171828459
2029-03-01,94.84169556614994
2029-04-01,69.34122423621062
2029-05-01,97.0004834983513
2029-06-01,57.574085863229655
2029-07-01,81.68742730636095
2029-08-01,98.0211609492894
2029-09-01,89.34982425248177
2029-10-01,94.62188784098007
2029-11-01,83.59262727443246
2029-12-01,54.61435183117955
2030-01-01,59.98023101261862
2030-02-01,134.83671675732262
2030-03-01,97.86110099890101
2030-04-01,73.15030592411425
2030-05-01,102.84896500934549
2030-06-01,59.83355685851304
2030-07-01,82.54888662514983
2030-08-01,97.29518161729166
2030-09-01,90.21352710667112
2030-10-01,100.4290439381745
2030-11-01,93.75929713236896
2030-12-01,62.6911007490475
2031-01-01,67.45479466138688
2031-02-01,143.31767052209756
2031-03-01,98.58140212994839
2031-04-01,73.19095305731503
2031-05-01,108.27315165089365
2031-06-01,67.93169908388352
2031-07-01,99.28534270327764
2031-08-01,117.52329500260299
2031-09-01,104.53028535103626
2031-10-01,111.98740292362089
2031-11-01,106.51673075915973
2031-12-01,77.47834443872374
2032-01-01,93.57900525231534
2032-02-01,217.06705936842306
2032-03-01,155.7185424050602
2032-04-01,111.74462053903136
2032-05-01,157.4293596872749
2032-06-01,96.65648808332502
2032-07-01,145.24503159773786
2032-08-01,182.8213599089335
2032-09-01,169.43921693760836
2032-10-01,181.5429406693821
2032-11-01,165.34797126001916
2032-12-01,113.82169695108168
2033-01-01,132.12557665473614
2033-02-01,306.11563751617604
2033-03-01,214.64649337753255
2033-04-01,152.34572993122578
2033-05-01,211.51137126688187
2033-06-01,128.29154996428306
2033-07-01,193.18495694859962
2033-08-01,243.22065674418644
2033-09-01,219.8833977097831
2033-10-01,220.837189921194
2033-11-01,184.71425185426637
