ds,sarima_ssn
2024-01-01,112.62811328871084
2024-02-01,115.21762714437719
2024-03-01,119.79778074697498
2024-04-01,117.11158094460622
2024-05-01,118.60318412554064
2024-06-01,136.3532246323977
2024-07-01,119.2926353558158
2024-08-01,113.74626858397346
2024-09-01,109.10582969759936
2024-10-01,120.32559468859607
2024-11-01,126.82093311910288
2024-12-01,108.22735672064329
2025-01-01,103.51092296916464
2025-02-01,107.17793353097255
2025-03-01,97.3829338769018
2025-04-01,111.14505937234182
2025-05-01,96.88495730000122
2025-06-01,95.70465464210812
2025-07-01,110.52033615385953
2025-08-01,102.27248825631008
2025-09-01,94.24292975260352
2025-10-01,102.82843286294367
2025-11-01,98.82631852754864
2025-12-01,101.8240916111702
2026-01-01,84.72420178124037
2026-02-01,90.07314212478532
2026-03-01,79.79957923325603
2026-04-01,82.57978251035242
2026-05-01,82.28411612292139
2026-06-01,70.28711850715797
2026-07-01,82.21696972785696
2026-08-01,88.98943243521818
2026-09-01,67.97028276875771
2026-10-01,69.22762904887584
2026-11-01,52.34197788063092
2026-12-01,67.24271006519189
2027-01-01,74.31487603073745
2027-02-01,70.20729263777818
2027-03-01,45.89927443649741
2027-04-01,48.22368925562003
2027-05-01,27.484226002931436
2027-06-01,28.233536287631424
2027-07-01,26.066733273681166
2027-08-01,24.222386616462984
2027-09-01,21.870561579451078
2027-10-01,21.17802770930271
2027-11-01,12.823195392242766
2027-12-01,17.22613692185601
2028-01-01,32.796533516989854
2028-02-01,15.477244702032834
2028-03-01,3.3540069209219894
2028-04-01,-2.8573934059051425
2028-05-01,4.603216081045545
2028-06-01,9.03772655683835
2028-07-01,-4.123202189572325
2028-08-01,-6.650401447901217
2028-09-01,-2.067195781616377
2028-10-01,-14.869720037511499
2028-11-01,5.187476279412351
2028-12-01,-10.251786833393382
2029-01-01,-13.316529599004156
2029-02-01,9.559908589687424
2029-03-01,-1.460425439993628
2029-04-01,-3.18581348056523
2029-05-01,9.61978733361238
2029-06-01,10.178957238756482
2029-07-01,17.983537061459103
2029-08-01,-3.511725939498092
2029-09-01,10.185417505660169
2029-10-01,-2.802560798423741
2029-11-01,10.150778138360565
2029-12-01,10.703947381318144
2030-01-01,-1.677914561177559
2030-02-01,21.848321801100724
2030-03-01,42.640009557475565
2030-04-01,17.165019560384778
2030-05-01,25.655895918448174
2030-06-01,6.282004440223901
2030-07-01,35.873001340527665
2030-08-01,53.298834361045124
2030-09-01,53.40945216284993
2030-10-01,21.07640982483983
2030-11-01,34.67668773195712
2030-12-01,9.603667225090756
2031-01-01,15.882651749147307
2031-02-01,22.234445295692385
2031-03-01,23.601138548186622
2031-04-01,26.904491965407836
2031-05-01,32.11230913195259
2031-06-01,29.927346363253104
2031-07-01,36.22770701997533
2031-08-01,56.31956431477995
2031-09-01,42.59563563008047
2031-10-01,37.29451221036784
2031-11-01,35.40377545530066
2031-12-01,48.30860883735859
2032-01-01,57.33929809435769
2032-02-01,44.990921295904485
2032-03-01,44.907173258728704
2032-04-01,52.561112600553685
2032-05-01,44.78710093919237
2032-06-01,65.14200301798071
2032-07-01,53.73526342557878
2032-08-01,55.011069194835
2032-09-01,77.14896890632723
2032-10-01,70.79829456717096
2032-11-01,69.08727022941211
2032-12-01,82.88191002678809
2033-01-01,84.17295173148611
2033-02-01,92.4939207797701
2033-03-01,76.06506963867167
2033-04-01,88.28813223461266
2033-05-01,79.30388544978743
2033-06-01,89.636452890748
2033-07-01,92.15799453979189
2033-08-01,82.24236977704017
2033-09-01,102.05354127307022
2033-10-01,117.77247188988053
2033-11-01,96.41837736229282
2033-12-01,102.98478670128623
